github.com/AlDanial/cloc v 1.98  T=3.55 s (285.0 files/s, 88468.0 lines/s)
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                          blank        comment           code
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/camera/where.go                                                                                 99             97            373
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/camerasetting/where.go                                                                         119            117            368
/Users/matthewdavis/workspace/nvr.ai/pkg/net/tmp/go-multiaddr/transcoders.go                                                                     65             23            368
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/rolepermission_update.go                                                                        44             41            364
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/gst_message.go                                                                  56             93            360
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/role_create.go                                                                                  35             32            355
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/gst_element.go                                                                  76            209            354
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/video/gst_video_format.go                                                       48             73            353
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/intercept/intercept.go                                                                          77             80            322
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/location_create.go                                                                              34             31            322
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/gql_edge.go                                                                                     35              1            317
/Users/matthewdavis/workspace/nvr.ai/pkg/go-streamer/bin/.lib/getoptions/src/gengetoptions                                                       61             11            316
/Users/matthewdavis/workspace/nvr.ai/pkg/net/tmp/go-multiaddr/protocols.go                                                                        6              4            315
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/camera.go                                                                                       33             61            310
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/camerasetting_create.go                                                                         33             30            310
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/role/where.go                                                                                   85             83            305
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/invitation.go                                                                                   31             58            301
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/tenant/where.go                                                                                 75             73            288
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/rolepermission_create.go                                                                        30             27            286
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/camerabookmark_create.go                                                                        30             27            282
/Users/matthewdavis/workspace/nvr.ai/pkg/net/tmp/go-multiaddr/net/convert.go                                                                     35             28            275
/Users/matthewdavis/workspace/nvr.ai/pkg/webrtc/tmp/webrtc-cli/src/rtc/peer.go                                                                   68              0            275
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/tenant.go                                                                                       33             55            267
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/registration_create.go                                                                          29             26            263
/Users/matthewdavis/workspace/nvr.ai/pkg/api/schema.resolvers.go                                                                                 50             35            263
/Users/matthewdavis/workspace/nvr.ai/pkg/h26x/formatprocessor/h265.go                                                                            66              7            262
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/camerabookmark/where.go                                                                         83             81            260
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/user.go                                                                                         27             51            257
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/gst_mapinfo.go                                                                  42             48            257
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/camerasegment_create.go                                                                         28             25            255
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/camerasegment_update.go                                                                         36             33            253
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/location/where.go                                                                               71             69            250
/Users/matthewdavis/workspace/nvr.ai/pkg/net/tmp/kcp-go/crypt_test.go                                                                            40              0            249
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/gst_caps.go                                                                     65            168            248
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/base/gst_base_transform_exports.go                                              25             25            247
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/role.go                                                                                         29             50            246
/Users/matthewdavis/workspace/nvr.ai/pkg/h26x/formatprocessor/h264.go                                                                            63              7            246
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/session_create.go                                                                               27             24            244
/Users/matthewdavis/workspace/nvr.ai/pkg/kubernetes-controller/deployments/deployments.go                                                        53             20            243
/Users/matthewdavis/workspace/nvr.ai/pkg/net/tmp/kcp-go/fec.go                                                                                   40             33            238
/Users/matthewdavis/workspace/nvr.ai/pkg/net/tmp/go-multiaddr/net/net.go                                                                         63             91            234
/Users/matthewdavis/workspace/nvr.ai/pkg/recorder/streams/muxer_segmenter_mpegts.go                                                              35              5            230
/Users/matthewdavis/workspace/nvr.ai/pkg/net/tmp/go-multiaddr/net/convert_test.go                                                                36              3            227
/Users/matthewdavis/workspace/nvr.ai/pkg/net/tmp/kcp-go/kcp_test.go                                                                              32             43            227
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/camera/camera.go                                                                                34             74            225
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/privacy/privacy.go                                                                              71            103            225
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/gst_event.go                                                                    54             99            224
/Users/matthewdavis/workspace/nvr.ai/pkg/api/server/server.go                                                                                    39             21            221
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/examples/plugins/gofilesrc/filesrc.go                                               43             90            221
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/registration_update.go                                                                          32             29            219
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/rolepermission/where.go                                                                         69             67            218
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/base/gst_base_src_exports.go                                                    22             20            217
